id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
1,Projection of nasal bones above frontomaxillary suture,Frontal,CR,D,UM,PHY,,UBERON:0000209,The projection of nasal bones above frontomaxillary suture.,3,Tapered (0); Expanded (1); Not projected (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Hominids vary in the pattern by which the nasal bones project above the frontomaxillary suture (Olson, 1985; Eckhardt, 1987; Walker & Leakey, 1988). Four states are recognized: (0) nasal bones extend superior to the frontomaxillary suture by means of a narrow projection (i.e., the nasal bones taper above the suture line); (1) nasal bones project above the frontomaxillary suture, widening laterally as they pass the suture line; (2) nasal bones do not project above the frontomaxillary suture; and (3) variable. Pg. 64",
2,Inferior orbital margin rounded laterally,Orbit,CR,D,UM,PHY,,UBERON:0001697,The morphology of inferior margin of the orbit as being either rounded laterally or not rounded. ,2,No (0); Yes (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Olson (1985) describes the morphology of the inferior margin of the orbit as being either rounded laterally or not rounded. Rounded lateral margins are present in A. aethiopicus and A. robustus. They are also present in a large proportion of male G. gorilla, and thus this species is coded as being a variable. This character is equivalent to S&M 3. Pg. 64",
3,Infraorbital foramen location,Orbit,CR,C,UM,PHY,,UBERON:0001697,"The ratio of the distances between orbitale and the foramen, and orbitale and the root of the zygoma.",2,High (0); Low (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character is equivalent to S&M 4. However, the character here quantified as a ratio of the distances between orbitale and the foramen, and orbitale and the root of the zygoma. A high foramen has a value of <0.5 (i.e., it is located within the upper half of the malar). A low foramen has a value of >0.5 (within the lower half). State assignments produced by this ratio corespond to those of S&M 4 except with respect to A. africanus. This is because Sts 52a possesses a low foramen whereas the foramina in all other A. africanus specimens are high. Accordingly, A. africanus is here coded as being variable. Although Skelton & McHenry (1992) noted that Sts 52a has a low foramen, they coded the species as ""high"". Pg. 64","KGA 10-525 has a high infraorbital foramen (Suwa et al., 1997), whereas all other P. boisei crania have an infraorbital foramen that pierces the lower half of the chord measured between orbitale and the root of the zygoma. Thus, this species is considered variable. Pg. 441"
4,Anterior pillars,Maxilla,CF,D,UM,PHY,,UBERON:0002397,The presence of anterior pillars.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,,"This character is equivalent to S&M 6, but state assignments here differ considerably from theirs. Skelton & McHenry (1992) followed Rak (1983) in accepting that pillars in A. boisei (and, by extension, A. aethiopicus) had been ""obscurred by infilling"". This state assignment is based on a functional interpretation of australopithecine facial evolution (Rak, 1983), rather than upon strict observation. Consequently, pillars are considered to be absent in A. boisei and A.aethiopicus. Furthermore, pillars are variable in A. africanus rather than present (contra S&M 6) because they are absent in Sts 52a but present in all other relevent specimens. Finally, contray to S&M 6, pillars are considered to be variable in H. habilis (present in Stw 53, OH 62, KNM-ER 1805; absent in KNM-ER 1813, SK 847), and absent in H. rudolfensis (KNM-ER 1470) Pg. 65","Keyser (2000: table 2) described the Drimolen skull as lacking anterior pillars. However, in the text of the paper, he (Keyser, 2000: 189) stated that ‘‘Weakly developed anterior pillars are barely visible.’’ Moreover, he noted that the margins of the nasal aperture are rounded. Thus, we interpret this specimen as having anterior pillars, albeit ones that are weak. Pg. 441"
5,Nasoalveolar clivus contour in coronal plane,Maxilla,CF,D,OM,PHY,,UBERON:0002397,The contour of nasoalveolar clivus in coronal plane.,3,Convex (0); Straight (1); Concave (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,,"This character is equivalent to S&M 12. Rak (1983) describes three forms of the nasoalveolar clivus: convex, straight, and concave (=nasoalveolar ""gutter""). In our definition, ""straight"" includes both slight concavity and slight convexity. Skelton & McHenry (1992) considered the clivus of A.  aethiopicus (KNM-WT 17000) to be more concave than that in A. robustus and A. boisei. All three of these species are coded here as being concave. Furthermore (contra S&M 12), H. habilis possesses a straight clivus. Pg. 65",
6,Nasal cavity entrance,Nasal,CF,D,UM,PHY,,UBERON:0001681,The contour of the nasal cavity entrance.,2,Stepped (0); Smooth (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"This character seems equivalent to S&M 10 (""distinct subnasal and intranasal components of nasoalveolar clivus""). McCollum et al. (1993) described differences in the form of the entrance to the nasal cavity in fossil hominids. A stepped entrance (state 0) is one in which there is a drop posterior to the nasoalveolar clivus. A smooth entrance is one in which the clivus grades into the nasal floor. However, a smooth entrance can be formed in two (presumably non-homologous) ways. In H. sapiens, the smooth entrance is formed by flexions in the clivus hard palate, which do not overlap (state 3). In other hominoid species that exhibit a smooth entrance, the clivus and palate overlap considerbaly (state 2). State assignments follow McCollum et al. (1993: p. 97, Table 7), who differ from Skelton & McHenry (1992) regarding A. africanus, A. robustus, and A. boisei. McCollum et al. (1993) also differ from Walker et al. (1986), who characterized A. africanus  as being intermediate. Furthermore, McCollum et al. (1993) characterized KNM-ER 1805 as having a smooth nasal cavity entrance, whereas Skelton and McHenry (1992) stated that it is stepped. According to McCollum et al. (1993), H. habilis is variable (state 1; smooth in Stw 53, OH 62, KNM-ER 1805; stepped in KNM-ER 1813, OH 24, SK 847) Pg. 65","This character refers to both the contour of the nasal cavity entrance and the degree to which the nasoalveolar clivus and palatine processes overlap. Strait et al. (1997) obtained their states for this character from McCollum et al. (1993). McCollum subsequently updated her characterizations of certain early hominid specimens (McCollum, 2000), and morphological groupings proposed by her are largely adopted here. Note that McCollum (2000) also recognized a distinction between Pan and Gorilla regarding the magnitude of vertical relief between the premaxilla and maxillary palatine processes. This distinction is not recognized here because of the possibility that the difference is a scaling phenomenon. Pg. 441"
7,Anterior projection of zygomatic bone relative to piriform aperture (dishing),Zygomatic,CF,D,OM,PHY,,UBERON:0001683,The position of the infraorbital plate of the zygoma relative to the piriform aperture.,3,Posterior (0); Intermediate (1); Anterior (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the infraorbital plate of the zygoma relative to the piriform aperture. (Ordered). States: Posterior (0); Intermediate (1); Anterior (2),"This character describes ""dishing"" of the face and is equivalent to S&M 16, although they did not indicate the point of reference for their characterizations. By using the piriform aperature as a reference, three distinct morphologies are recognized: the infra-orbital plate of the zygoma is a posterior to the aperture (state 0), the zygoma is at level of the aperature (state 2), and the zygoma is anterior to the aperature. State 3 is equivalent to having a dished face. A. africanus is variable (state 1) because Sts 71 exhibits the intermediate morphology (state 2), whereas all other specimens of the species have posteriorly positioned zygomatics. Pg. 66",
8,Masseteric position relative to sellion,Mandible,CR,D,UM,PHY,,UBERON:0001684,The distance from the articular eminence to the zygomatic tubercle expressed as a percentage of the horizontal distance between the articular eminence and sellion.,2,Anterior (0); Posterior (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,"Rak's (1983, 1988) index of masseteric position describes the anterior migration of the masseter muscle. An index value of 100 indicates that the masseteric tuberacle is in the same coronal plane as sellion. Two states are recognized: (0) the tubercle is at or posterior to sellion (index values ≤ 105), and (1) it is at or anterior to sellion (index values ≥ 95). The ranges of these two states overlap partially. Pg. 67",
9,Cranial capacity,Brain,CR,C,OM,BOTH,D,UBERON:0000955,Cranial capacity in cubic centimeters. (Small<500; Intermediate=500-680; Medium=750-875; Large=900-1200; Very large>1300),4,Small (0); Intermediate (1); Medium (2); Large (3); Very large (4),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger 2010",,Cranial capacity in cubic centimeters. (Small<500; Intermediate=500-680; Medium=750-875; Large=900-1200; Very large >1300). (Ordered). States: Small (0); Intermediate (1); Medium (2); Large (3); Very large (4),"The cube root of cranial capacity was used so as to counter-act the exponential growth of this volume in relation to the linear dimensions of the braincase. However, equivalent groupings were found using the volumetric measurement, and this is presented here because readers are more familiar with the manner in which this measurement is distributed in hominids. Five states are recognized (data from Aiello & Dean, 1990; Tobias, 1991; Brown et al., 1993), some of which overlap considerably: (0) below 500 cm^3, (1) approximately 500 cm^3, (2) 509-680 cm^3, (3) 750-875 cm^3, (4) approximately 1400 cm^3. State 0 includes  P. troglodytes, G. gorilla, A. afarensis and A. aethiopicus. Although some gorillas may exceed 500 cm^3, their body sizes are also much greater, and thus their brains are relatively quite small. State 1 includes A. africanus, A. robustus, and A. boisei. Stw 505 has considerably extended the range of A. africanus (Clarke, pers. comm.) State 2 includes H. habilis. Although the range of H. habilis overlaps cosiderably with those of australopithecines, the smallest H. habilis cranial capacity (KNM-ER 1813: 509 cm^3) is still much larger than the smallest representatives of the australopithecine species. Holloway (1973) estimated the cranial capacity of Sts 19 to be 436 cm^3, but reconstructions that include the calotte Sts 58 indicate cranial capacities between 530 and 570 cm^3  (Broom & Robinson, 1948; Tobias, 1975). State 3 includes H. rudolfensis and H. ergaster. State 4 includes H. sapiens. In general, S&M 65 recognized finer distinctions between taxa than are recognized here. Pg. 67, 68","The state assignments of several early hominid taxa have been revised from Strait et al. (1997). Recent discoveries have made clear that the australopith species overlap extensively with respect to brain size. Regarding Pr. afarensis, A.L. 444-2 has an estimated capacity of 500 cc (Holloway and Yuan, 2004), which increases the range of this species. With reference to P. boisei, we include here Holloway’s (1988) rough estimate of 395 cc for KNM-WT 17400, which is notably smaller than the values for other P. boisei specimens. The range for this species sample has been extended also by Suwa et al. (1997), who provided an estimate of 545 cc for KGA 10-525. We have excluded KNM-ER 3733 from the H. ergaster sample because its published estimate is a minimum value, and we have utilized the ‘‘age corrected’’ value of 909 cc provided for KNM-WT 15000 (Begun and Walker, 1993). Although not formally considered here, the specimens from Dmanisi that are likely to be conspecific with the African H. ergaster sample suggest that the range in brain size in this species extends below the size observed in the Nariokotome specimen. The ranges of the non-Homo samples overlap extensively, and they overlap with the ranges for the African ape samples. Because there is no clear distinction among these various species, they are all provided with the same character state. Pg. 442"
10,Cerebellar morphology,Brain,CR,D,UM,PHY,,UBERON:0000955,The position of cerebellum relative to the cerebrum.,2,Lateral flare with posterior protrusion (0); Tucked (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of the cerebellum relative to the cerebellum. (Unordered). States: Lateral flare with posterior protrusion (0); Tucked (1),"Holloway (1988) stated that in Homo, A. boisei and A. robustus, the cerebellum is tucked underneath the cerebrum. In most other hominids, the cerebellum flares laterally and protrudes posteriorly. Holloway did not discuss A. afarensis, but our observations suggest that it too flares laterally with posterior protrusion. This character is equivalent to S&M 66. Pg. 68",
